m,train,test
0.0,1.0,0.979
0.01,0.9992,0.969
0.02,0.9983,0.973
0.03,0.9964,0.97
0.04,0.9969,0.973
0.05,0.9954,0.969
0.06,0.9944,0.974
0.07,0.9931,0.972
0.08,0.9913,0.976
0.09,0.989,0.971
0.1,0.9879,0.971
0.11,0.9862,0.97
0.12,0.9868,0.969
0.13,0.9834,0.973
0.14,0.9843,0.969
0.15,0.9819,0.965
0.16,0.9828,0.97
0.17,0.9818,0.966
0.18,0.9793,0.969
0.19,0.9782,0.97
0.2,0.9799,0.97
0.21,0.978,0.967
0.22,0.9761,0.967
0.23,0.9759,0.965
0.24,0.975,0.972
0.25,0.9752,0.968
0.26,0.9743,0.965
0.27,0.9734,0.971
0.28,0.9728,0.962
0.29,0.9742,0.968
