m,train,test
1,0.9562,0.93
2,0.9884,0.971
3,0.995,0.969
4,0.9976,0.967
5,0.9992,0.974
6,0.9996,0.973
7,0.9997,0.977
8,1.0,0.974
9,1.0,0.977
10,1.0,0.979
11,1.0,0.976
12,1.0,0.977
13,1.0,0.972
14,1.0,0.977
15,1.0,0.98
16,1.0,0.976
17,1.0,0.984
18,1.0,0.978
19,1.0,0.978
20,1.0,0.982
21,1.0,0.977
22,1.0,0.977
23,1.0,0.975
24,1.0,0.977
25,1.0,0.977
26,1.0,0.98
27,1.0,0.978
28,1.0,0.98
29,1.0,0.984
30,1.0,0.978
31,1.0,0.979
32,1.0,0.979
33,1.0,0.982
34,1.0,0.977
35,1.0,0.977
36,1.0,0.977
37,1.0,0.982
38,1.0,0.98
39,1.0,0.977
40,1.0,0.982
41,1.0,0.979
42,1.0,0.982
43,0.9997,0.979
44,1.0,0.983
45,1.0,0.984
46,1.0,0.984
47,1.0,0.979
48,0.9999,0.975
49,1.0,0.979
50,0.9947,0.976
51,0.9997,0.977
52,0.9941,0.978
53,0.9989,0.98
54,0.9994,0.979
55,0.9971,0.978
56,1.0,0.984
57,0.9951,0.97
58,0.9974,0.979
59,0.9843,0.956
60,0.9987,0.98
61,1.0,0.979
62,0.984,0.96
63,0.9967,0.981
64,0.9921,0.964
65,0.9986,0.98
66,0.9969,0.975
67,0.9999,0.977
68,1.0,0.977
69,0.9991,0.976
70,1.0,0.98
71,1.0,0.979
72,1.0,0.976
73,1.0,0.975
74,0.9931,0.974
75,1.0,0.979
76,0.9993,0.98
77,0.9998,0.977
78,1.0,0.979
79,0.9994,0.975
80,1.0,0.978
81,1.0,0.981
82,1.0,0.976
83,1.0,0.976
84,1.0,0.98
85,1.0,0.981
86,1.0,0.98
87,1.0,0.98
88,1.0,0.975
89,1.0,0.976
90,1.0,0.977
91,1.0,0.979
92,1.0,0.979
93,1.0,0.978
94,1.0,0.979
95,1.0,0.981
96,1.0,0.982
97,1.0,0.979
98,1.0,0.981
99,1.0,0.979
