m,train,test
0.0,1.0,0.978
0.001,1.0,0.976
0.002,1.0,0.98
0.003,1.0,0.974
0.004,1.0,0.976
0.005,1.0,0.979
0.006,1.0,0.983
0.007,1.0,0.981
0.008,0.9999,0.983
0.009,0.9997,0.979
0.01,0.9998,0.98
0.011,0.9996,0.983
0.012,0.9999,0.982
0.013,0.9994,0.98
0.014,0.9996,0.979
0.015,0.9992,0.978
0.016,0.999,0.979
0.017,0.9992,0.979
0.018,0.9994,0.979
0.019,0.9991,0.978
0.02,0.9989,0.98
0.021,0.9989,0.982
0.022,0.9986,0.976
0.023,0.9984,0.978
0.024,0.9986,0.978
0.025,0.9983,0.98
0.026,0.9984,0.976
0.027,0.9988,0.977
0.028,0.9983,0.977
0.029,0.9981,0.974
0.03,0.998,0.978
0.031,0.998,0.975
0.032,0.9986,0.976
0.033,0.9978,0.976
0.034,0.9973,0.98
0.035,0.9978,0.977
0.036,0.9972,0.97
0.037,0.9976,0.98
0.038,0.9972,0.979
0.039,0.997,0.976
0.04,0.997,0.981
0.041,0.9974,0.976
0.042,0.9971,0.978
0.043,0.9978,0.98
0.044,0.9967,0.977
0.045,0.9973,0.978
0.046,0.9973,0.977
0.047,0.9966,0.981
0.048,0.9962,0.976
0.049,0.9963,0.975
0.05,0.9963,0.976
0.051,0.9964,0.976
0.052,0.9963,0.977
0.053,0.9963,0.978
0.054,0.9951,0.978
0.055,0.9953,0.978
0.056,0.9958,0.972
0.057,0.996,0.977
0.058,0.9959,0.979
0.059,0.9953,0.975
0.06,0.9939,0.977
0.061,0.9944,0.973
0.062,0.9946,0.972
0.063,0.9957,0.972
0.064,0.9942,0.97
0.065,0.9944,0.976
0.066,0.9948,0.978
0.067,0.9948,0.975
0.068,0.9944,0.979
0.069,0.9937,0.973
0.07,0.9939,0.977
0.071,0.9937,0.972
0.072,0.9927,0.977
0.073,0.994,0.975
0.074,0.9933,0.973
0.075,0.9934,0.973
0.076,0.9933,0.976
0.077,0.9917,0.976
0.078,0.9928,0.976
0.079,0.9932,0.972
0.08,0.993,0.972
0.081,0.992,0.981
0.082,0.9917,0.975
0.083,0.9913,0.971
0.084,0.9916,0.976
0.085,0.9917,0.974
0.086,0.9909,0.976
0.087,0.9917,0.975
0.088,0.9903,0.969
0.089,0.9903,0.974
0.09,0.9903,0.974
0.091,0.9896,0.974
0.092,0.99,0.975
0.093,0.9897,0.976
0.094,0.9899,0.971
0.095,0.9887,0.969
0.096,0.989,0.971
0.097,0.9892,0.969
0.098,0.989,0.973
0.099,0.9903,0.974
